the age:,Gender:,Area:,Current educational level:,marital status:,Employment status:,Do you use social media applications?,What social media platforms do you use?,What app do you use the most?,How many hours do you spend on social media platforms daily?,Do you feel anxious or stressed after reading negative comments on your posts?,Are you worried about missing out on important information or events when you're not using social media?,Do you feel that using social media has affected your ability to focus and accomplish daily tasks?,Do you think that consuming quick content (such as watching short videos and push notifications...) has affected your patience and ability to deal with long tasks?,Do you use social media right before going to sleep?,Do you have difficulty sleeping because of thinking about what you saw on social media platforms?,Does the number of likes or comments you get on your posts affect you?,Have you changed your opinion or feeling based on the reactions of others on social media platforms?,Do you prefer interacting with friends or family online rather than face-to-face?,How often do you find yourself using social media for longer than you planned?,How do you feel when you compare your life to the lives of others on social media?,"What methods, if any, do you use to limit your social media access?"
18-24,male,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram",TikTok,2-Jan,I don't post,rarely,"No, never",rarely,"Yes, always",sometimes,I don't care about the number of likes or comments,"No, never",sometimes,sometimes,Motivation and inspiration,nothing
25-34,feminine,Riyadh,Bachelor's degree,married,housewife,Yes,"TikTok, Youtube, WhatsApp",WhatsApp,2-Jan,I don't post,sometimes,"Yes, a lot",sometimes,"Yes, always",sometimes,"No, never","No, never",rarely,sometimes,"I do not feel frustrated or inferior, but rather I feel motivated and inspired if the topics discussed are useful and effective.","I do not use any methods, just turn off the Internet from the phone."
45-54,feminine,City,diploma,married,retired,Yes,"X (Twitter), Youtube, WhatsApp, Telegram",WhatsApp,2-Jan,sometimes,rarely,"Yes, a lot",sometimes,"Yes, always",sometimes,rarely,"No, never","No, never",rarely,"Praise be to God, I have never compared myself to any other human being, because my ceiling of satisfaction is high and my attachment to God Almighty is great.",I hope to find a solution so that I can stay away from the mobile phone and stop thinking about it
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,6-May,I don't post,sometimes,"Yes, a lot",sometimes,sometimes,"No, never",I don't care about the number of likes or comments,"No, never","No, never",always,Bliss,Distracting myself with other things
25-34,feminine,City,High school or equivalent,married,housewife,Yes,"Instagram, WhatsApp, Telegram",WhatsApp,4-Mar,sometimes,sometimes,"No, never",sometimes,"Yes, always",rarely,I don't care about the number of likes or comments,rarely,sometimes,sometimes,I don't care about other people's lives,Turn on airplane mode
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, TikTok, Snapchat, Youtube, WhatsApp, Telegram",Instagram,6-May,I don't post,"No, never",sometimes,"Yes, a lot","Yes, always","No, never",I don't care about the number of likes or comments,"No, never",rarely,sometimes,He wished for a better life,Leave the device
55 and more,feminine,City,Less than high school,A widower,housewife,no,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
18-24,feminine,Khamis Mushayt,diploma,bachelor,student,Yes,"Facebook, Telegram, Locket",TikTok,4-Mar,"Yes, always","Yes, always","No, never","Yes, a lot","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always",rarely,Frustrated,nothing
18-24,feminine,Al-Baha,Bachelor's degree,bachelor,student,Yes,"Instagram, Youtube, WhatsApp, Locket",Instagram,8-Jul,"No, never",rarely,"Yes, a lot","Yes, a lot",sometimes,"No, never",I don't care about the number of likes or comments,sometimes,"No, never",rarely,"Sometimes I want to be like them (better, more beautiful, etc.) Other times (against the idea of ??comparing real life to the lives of others on social media because it is just an aspect of a whole life)","-Close application notifications 
 -Use it only to respond to important messages 
 - Spend time on other things (study, reading, hobbies, music, sleeping, tidying, etc.)
 -More bias towards applications only for messaging, such as WhatsApp and Telegram -Setting a limit of one hour each day. 
 -Use Google to search for some interesting topics (interests - questions - scientific facts - history - metaphysics - parallel worlds - universes - etc.)"
18-24,feminine,Tabuk,Bachelor's degree,bachelor,student,Yes,"Instagram, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,6-May,sometimes,sometimes,"Yes, a lot",sometimes,"Yes, always",sometimes,sometimes,sometimes,sometimes,sometimes,Motivation inspiration,Leave it for a limited period
35-44,male,City,Ph.D,married,Full time employee,Yes,"Facebook, X (Twitter), LinkedIn, Youtube, WhatsApp, Telegram",Facebook,6-May,"Yes, always",sometimes,"Yes, a lot",sometimes,"Yes, always",sometimes,"Yes, always",rarely,"No, never",always,Sometimes frustration,I don't use it
35-44,male,City,Master's,married,Full time employee,Yes,"Facebook, Youtube, WhatsApp, Telegram",Facebook,4-Mar,rarely,rarely,"Yes, a lot",sometimes,sometimes,sometimes,sometimes,rarely,sometimes,sometimes,Frustration,Leave the device
55 and more,feminine,City,Bachelor's degree,married,retired,Yes,"Instagram, TikTok, WhatsApp, Telegram",WhatsApp,6-May,I don't post,sometimes,"Yes, a lot",sometimes,sometimes,sometimes,I don't care about the number of likes or comments,sometimes,sometimes,always,Yes,Delete the application
13-17,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), Snapchat, Youtube, WhatsApp, Telegram, Locket, Tellonym",Instagram,8-Jul,I don't read comments,sometimes,sometimes,rarely,"Yes, always",rarely,rarely,sometimes,rarely,always,Trying hard to earn this life,Sleeping or sitting with the family
18-24,feminine,Tabuk,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Locket",TikTok,10-Sep,"No, never","Yes, always",sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,sometimes,incentive,Leave it uncharged
18-24,feminine,Al-Baha,diploma,bachelor,Not employed,Yes,"Instagram, TikTok, Snapchat, Youtube, WhatsApp",Snapchat,10-Sep,sometimes,rarely,"Yes, a lot","Yes, a lot","Yes, always","Yes, always","Yes, always","Yes, always","Yes, always",sometimes,Frustration,"Being busy with daily tasks, exercising"
18-24,feminine,Al-Ahsa,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,6-May,sometimes,rarely,sometimes,"Yes, a lot","Yes, always",sometimes,sometimes,rarely,"No, never",sometimes,I don't compare at all,Self-flagellation and psychological testing
25-34,feminine,Riyadh,High school or equivalent,married,housewife,Yes,"Instagram, X (Twitter), Snapchat, WhatsApp",Instagram,2-Jan,sometimes,sometimes,sometimes,"Yes, a lot","Yes, always","No, never",sometimes,sometimes,"No, never",sometimes,"Sometimes I get emotional and say, Mashallah, and thank God for the blessing, and I say my father is better than her, and God has goodness in his hand. Glory be to Him, may God bless us.",Away from me or in the charger
35-44,feminine,City,Ph.D,absolute,Full time employee,Yes,"Facebook, TikTok, Youtube, WhatsApp, Telegram",TikTok,4-Mar,rarely,rarely,"Yes, a lot",sometimes,"Yes, always",sometimes,"No, never","No, never",sometimes,sometimes,I wish for a better life,Internet disconnection
18-24,feminine,Mecca,Bachelor's degree,bachelor,A worker with his own work,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",WhatsApp,12 hours or more,rarely,rarely,sometimes,sometimes,"Yes, always",sometimes,"Yes, always",sometimes,sometimes,always,Motivation,Turn off the device
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, WhatsApp, Telegram, Locket",TikTok,2-Jan,I don't post,rarely,sometimes,sometimes,sometimes,rarely,I don't care about the number of likes or comments,rarely,"No, never",sometimes,"I don't follow the diaries of famous people at all, and I don't care about people's lives. Social media, for me, is no standard of comparison at all.",Turn off the mobile phone and lift it up
18-24,feminine,City,High school or equivalent,bachelor,student,Yes,"Instagram, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",Instagram,10-Sep,rarely,rarely,sometimes,sometimes,"Yes, always",rarely,rarely,"No, never",sometimes,always,"It is possible at times to feel a sense of belonging due to the convergence of ideas, problems, etc., motivation when encountering problems, and a feeling that I am not alone.","Reading books, sleeping, going outside"
13-17,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, Snapchat, Youtube, WhatsApp",Instagram,2-Jan,I don't post,rarely,"No, never",sometimes,sometimes,"No, never",I don't care about the number of likes or comments,"No, never","Yes, always",sometimes,"I do not compare my life with the lives of others, thank God","Studying, reading books, or sitting with the family"
18-24,feminine,grandmother,Bachelor's degree,bachelor,student,Yes,"Youtube, WhatsApp, Telegram",Youtube,8-Jul,sometimes,sometimes,"Yes, a lot","Yes, a lot","Yes, always",sometimes,rarely,rarely,"No, never",sometimes,Frustration and sadness about people's condition,Exercising and sitting with family for a longer period
35-44,feminine,City,Master's,married,Full time employee,Yes,"Facebook, Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram",WhatsApp,4-Mar,rarely,rarely,sometimes,sometimes,"Yes, always",rarely,rarely,sometimes,sometimes,sometimes,And none of that,Time management
45-54,male,City,Ph.D,married,Full time employee,Yes,"Facebook, Youtube, WhatsApp",WhatsApp,8-Jul,"Yes, always",sometimes,sometimes,sometimes,sometimes,rarely,sometimes,sometimes,"No, never",sometimes,I don't compare,Only determination
13-17,feminine,City,High school or equivalent,bachelor,student,Yes,"Instagram, TikTok, Snapchat, Youtube, WhatsApp, Locket",TikTok,2-Jan,"No, never",rarely,"No, never","No, never",sometimes,"No, never",rarely,"No, never",rarely,sometimes,It is not right to compare yourself with someone else,Temporary mode for use
18-24,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",Instagram,6-May,I don't post,sometimes,"Yes, a lot","Yes, a lot",sometimes,rarely,I don't care about the number of likes or comments,rarely,"No, never",sometimes,FOMO,Forest - Or just force myself
13-17,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",Instagram,8-Jul,sometimes,"No, never","No, never","No, never","Yes, always",rarely,sometimes,"No, never",sometimes,sometimes,I don't feel anything,Leave the mobile phone in another room or turn off the mobile phone
45-54,feminine,City,Master's,married,Full time employee,Yes,"Facebook, Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram",WhatsApp,6-May,"No, never","No, never",sometimes,sometimes,sometimes,"No, never",sometimes,"No, never",sometimes,sometimes,Sometimes I remember advice and sometimes I feel motivated,I work at home or read
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",Instagram,2-Jan,rarely,"No, never","Yes, a lot","No, never","No, never","No, never",rarely,sometimes,sometimes,sometimes,"Frankly, I feel that social networking sites are an illusion, like when I watch a sad clip, is it plausible that it is actually sad or artificial?! Also, I feel that the inspirational passages are an illusion, so I am not affected",Sitting with my family and trying to keep myself busy by making a daily plan so that I don?t have to spend a lot of time on my devices.
18-24,feminine,Al-Baha,Bachelor's degree,bachelor,student,Yes,"X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Locket",TikTok,10-Sep,sometimes,sometimes,"Yes, a lot",sometimes,"Yes, always","Yes, always",rarely,"Yes, always",sometimes,always,.,.
35-44,male,Riyadh,Master's,married,Full time employee,Yes,"Instagram, X (Twitter), LinkedIn, Snapchat, Youtube, WhatsApp, Telegram",WhatsApp,4-Mar,"Yes, always",rarely,"Yes, a lot","Yes, a lot","Yes, always",sometimes,sometimes,sometimes,sometimes,always,I don't care about that,Turn off notifications
13-17,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, TikTok, Snapchat, WhatsApp, Telegram",TikTok,6-May,sometimes,sometimes,"Yes, a lot",sometimes,"Yes, always","No, never",I don't care about the number of likes or comments,"No, never",rarely,always,frustration,I leave the device
25-34,feminine,Sakaka,Bachelor's degree,married,housewife,Yes,"Instagram, TikTok, Snapchat, Youtube, WhatsApp, Telegram",Snapchat,8-Jul,I don't post,"No, never","No, never","No, never",sometimes,"No, never",I don't care about the number of likes or comments,"No, never","No, never",rarely,Thank God,Work at home
45-54,male,City,Ph.D,married,Full time employee,Yes,"Facebook, X (Twitter), LinkedIn, WhatsApp",WhatsApp,2-Jan,sometimes,rarely,sometimes,"Yes, a lot",sometimes,sometimes,I don't care about the number of likes or comments,"No, never",rarely,rarely,I am not affected,Reading
25-34,feminine,Riyadh,Bachelor's degree,bachelor,Not employed,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",Instagram,4-Mar,sometimes,rarely,rarely,rarely,sometimes,rarely,"No, never",rarely,rarely,sometimes,"Every person has his own circumstances, thank God I do not like comparison",..
45-54,feminine,Riyadh,High school or equivalent,married,housewife,Yes,"Snapchat, WhatsApp",WhatsApp,2-Jan,I don't post,rarely,sometimes,"No, never","Yes, always",sometimes,"No, never",sometimes,sometimes,sometimes,I don't compare myself to them,Leave the device
18-24,feminine,Mecca,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram",Instagram,8-Jul,sometimes,sometimes,"Yes, a lot","Yes, a lot","Yes, always","Yes, always","Yes, always",sometimes,"Yes, always",always,All negative feelings,Being busy with studies and life
18-24,feminine,Al-Baha,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,10-Sep,sometimes,sometimes,"Yes, a lot","Yes, a lot","Yes, always","No, never","No, never","No, never",sometimes,always,Inspiration and motivation to work better and feel happy,Focus on what I want to reach and remember that the phone will delay me in arriving
45-54,male,City,Ph.D,married,Full time employee,Yes,"Facebook, Instagram, X (Twitter), LinkedIn, TikTok, Youtube, WhatsApp, Telegram",WhatsApp,2-Jan,"Yes, always","Yes, always","Yes, a lot","Yes, a lot","Yes, always",sometimes,sometimes,sometimes,sometimes,always,frustration,Leave the mobile phone on the charger
18-24,feminine,Riyadh,Bachelor's degree,bachelor,"Student, unemployed",Yes,"X (Twitter), TikTok, Snapchat, WhatsApp, Telegram, Locket",X (Twitter),6-May,"No, never","Yes, always",sometimes,sometimes,"Yes, always",rarely,I don't care about the number of likes or comments,rarely,rarely,always,inspiration,I don't use methods
18-24,feminine,Riyadh,Bachelor's degree,bachelor,"Student, unemployed",Yes,"Instagram, X (Twitter), TikTok, Snapchat, WhatsApp, Telegram, Locket",TikTok,6-May,rarely,"Yes, always","Yes, a lot",sometimes,"Yes, always",sometimes,I don't care about the number of likes or comments,"Yes, always",sometimes,sometimes,Depending on the person I'm comparing myself to (I'm not comparing myself at all)????,"It's normal for me to sleep, I can study, and I can be with my family. I have control over myself ??"
45-54,male,City,Ph.D,married,Full time employee,Yes,"Facebook, Youtube, WhatsApp, Telegram",WhatsApp,6-May,"Yes, always","Yes, always",sometimes,"No, never","Yes, always","No, never",sometimes,sometimes,sometimes,always,Make fun of them,Delete normalization
18-24,male,Riyadh,High school or equivalent,bachelor,"Student, unemployed",Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram",Instagram,6-May,"No, never","Yes, always",sometimes,sometimes,"Yes, always","No, never",I don't care about the number of likes or comments,"No, never",rarely,always,I don't feel anything,Leave the device in an isolated room
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"X (Twitter), TikTok, Youtube, WhatsApp, Telegram",Youtube,12 hours or more,"No, never",sometimes,"No, never",sometimes,"Yes, always","No, never","Yes, always","No, never","No, never",always,I don't compare at all,I'm new to owning a phone so I'm still learning about these things
18-24,feminine,Riyadh,Bachelor's degree,bachelor,Not employed,Yes,"Instagram, X (Twitter), LinkedIn, Snapchat, Youtube, WhatsApp, Telegram, Locket",X (Twitter),4-Mar,sometimes,sometimes,"Yes, a lot",sometimes,"Yes, always",sometimes,sometimes,sometimes,rarely,always,I wish for a better life,"Setting an alert when the application usage exceeds the average for daily use, for example, Instagram"
45-54,male,Riyadh,Ph.D,married,Full time employee,Yes,"Facebook, X (Twitter), LinkedIn, Youtube, WhatsApp",WhatsApp,4-Mar,rarely,sometimes,"Yes, a lot",sometimes,"Yes, always",rarely,"Yes, always",sometimes,"Yes, always",always,I'm usually not affected,Watch TV or walk
35-44,feminine,Riyadh,Bachelor's degree,married,housewife,Yes,"Instagram, TikTok, Snapchat, WhatsApp, Telegram",Instagram,6-May,I don't post,sometimes,sometimes,"Yes, a lot","Yes, always",sometimes,I don't care about the number of likes or comments,sometimes,sometimes,always,sometimes,nothing
25-34,feminine,Riyadh,High school or equivalent,married,housewife,Yes,"Snapchat, WhatsApp",WhatsApp,2-Jan,rarely,sometimes,sometimes,rarely,sometimes,rarely,rarely,"No, never","No, never",sometimes,Sometimes I feel inferior if I see something I like,I didn't understand
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp",X (Twitter),6-May,sometimes,sometimes,"Yes, a lot","Yes, a lot","Yes, always",rarely,rarely,sometimes,rarely,always,Inspiration,Use limit for applications
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",X (Twitter),10-Sep,"Yes, always",sometimes,"Yes, a lot","Yes, a lot",sometimes,sometimes,"Yes, always",sometimes,"No, never",always,Better than other people's lives,I hope to meet you haha
35-44,feminine,Riyadh,High school or equivalent,married,housewife,Yes,"Instagram, Snapchat, WhatsApp",Snapchat,6-May,I don't post,rarely,"No, never","No, never",sometimes,"No, never",I don't care about the number of likes or comments,"No, never","No, never",never,I wish the best for me and everyone,Being busy with the tasks I have to do
18-24,feminine,Riyadh,High school or equivalent,married,housewife,Yes,"TikTok, Youtube, WhatsApp",WhatsApp,4-Mar,rarely,"Yes, always","Yes, a lot",sometimes,"Yes, always",sometimes,"Yes, always",sometimes,"No, never",always,"Praise be to God, my life is very special for me to strive to achieve my ambitions",I benefited from it a lot
18-24,feminine,Abha,Bachelor's degree,bachelor,Not employed,Yes,"Instagram, LinkedIn, Snapchat, Youtube, WhatsApp, Telegram",WhatsApp,6-May,I don't post,rarely,sometimes,rarely,"No, never","No, never",I don't care about the number of likes or comments,"No, never","No, never",sometimes,Inspiration,Opal program
55 and more,male,Riyadh,diploma,married,A worker with his own work,Yes,"Facebook, Instagram, X (Twitter), Youtube, WhatsApp, Telegram",WhatsApp,4-Mar,rarely,"Yes, always",sometimes,"No, never",sometimes,"No, never","No, never",sometimes,sometimes,sometimes,"Contentment is an everlasting treasure 
 Diversity is the nature of life, and if it were not for tastes, goods would be gone","Rather, it was used to read the Holy Quran 
 Searching for legal sciences 
 Important in searching for e-commerce"
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,6-May,I don't post,"No, never","Yes, a lot",sometimes,"Yes, always",rarely,I don't care about the number of likes or comments,sometimes,sometimes,sometimes,loss,"Using a program to set a limited time for applications, not charging the phone 100%, so that he had to leave it on the charger for a while"
18-24,feminine,grandmother,Bachelor's degree,bachelor,Not employed,Yes,"LinkedIn, Youtube, WhatsApp, Telegram, YouTube",Youtube,4-Mar,I don't post,sometimes,"Yes, a lot","Yes, a lot",sometimes,"Yes, always",sometimes,"Yes, always","No, never",always,A mixture of negative and positive emotions,Hide the device in a place out of sight and use applications to limit the number of times an application is opened
18-24,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Facebook, Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram",Youtube,10-Sep,I don't read comments,"No, never",rarely,rarely,"Yes, always","No, never",rarely,sometimes,"No, never",always,I'm not interested,I want to leave the phone for a while
35-44,male,Riyadh,Ph.D,married,student,Yes,"Facebook, X (Twitter), LinkedIn, Youtube, WhatsApp",Facebook,2-Jan,sometimes,rarely,rarely,"No, never","Yes, always",rarely,rarely,"No, never","No, never",sometimes,I don't compare myself to others,I don't use any method
45-54,feminine,Abha,Bachelor's degree,married,Full time employee,Yes,"Snapchat, Youtube, WhatsApp, Telegram",WhatsApp,Less than an hour,I don't post,"No, never",sometimes,sometimes,rarely,"No, never","No, never",sometimes,sometimes,sometimes,no,Preoccupation with work
18-24,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",X (Twitter),2-Jan,I don't post,"Yes, always","Yes, a lot","Yes, a lot","Yes, always","Yes, always",sometimes,rarely,sometimes,always,It never motivates me to succeed,"Delete applications, turn off notifications for all distracting applications, and put the mobile phone on silent"
35-44,feminine,Khamis Mushayt,Bachelor's degree,married,A worker with his own work,Yes,"Instagram, TikTok, Snapchat, WhatsApp",TikTok,2-Jan,rarely,sometimes,sometimes,rarely,sometimes,rarely,rarely,sometimes,"Yes, always",sometimes,no,nothing
35-44,male,Riyadh,Ph.D,married,Full time employee,Yes,"Facebook, X (Twitter), LinkedIn, Youtube, WhatsApp, Telegram",X (Twitter),2-Jan,I don't post,rarely,"No, never","No, never","Yes, always","No, never",sometimes,"No, never",sometimes,never,I'd rather not answer,I don't use specific methods
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,6-May,sometimes,sometimes,"Yes, a lot","Yes, a lot","Yes, always",rarely,I don't care about the number of likes or comments,sometimes,"No, never",always,The feeling that I have not done anything in my life and that my life is sometimes different,"Leave the device
 Do more manual labor
 Socialize with people more"
18-24,feminine,Riyadh,diploma,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",Locket,10-Sep,"Yes, always","Yes, always","Yes, a lot",sometimes,"Yes, always",sometimes,"No, never","Yes, always",rarely,always,Feeling motivated,Leave the device in an isolated room
25-34,male,City,Bachelor's degree,married,student,Yes,"X (Twitter), Youtube, WhatsApp, Telegram",Youtube,2-Jan,I don't post,rarely,sometimes,sometimes,sometimes,rarely,I don't care about the number of likes or comments,"No, never","No, never",sometimes,I'm not interested,.
18-24,feminine,Riyadh,High school or equivalent,bachelor,Part-time employee,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Locket",WhatsApp,4-Mar,"No, never","No, never",sometimes,sometimes,"Yes, always","No, never","No, never","No, never",sometimes,always,"God Almighty created the servant and wrote his life for him, and the servant must be satisfied with it and never compare his life to anyone else?s.",Turn off the internet or drawing
18-24,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Facebook, Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",Instagram,6-May,"Yes, always",sometimes,"Yes, a lot","Yes, a lot","Yes, always",sometimes,sometimes,rarely,"No, never",sometimes,"An unpleasant feeling, and when I became aware of myself, I adjusted it and wished for nothing but good",Put the phone in another room
18-24,feminine,Riyadh,High school or equivalent,bachelor,student,Yes,"Instagram, X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Telegram, Locket",TikTok,4-Mar,"No, never",rarely,"Yes, a lot","Yes, a lot","Yes, always","No, never",I don't care about the number of likes or comments,"No, never",rarely,sometimes,Feeling grateful and thanking God for all his blessings,Setting a timer for each program with a specific number of hours - setting it to focus mode
18-24,male,Riyadh,High school or equivalent,bachelor,student,Yes,"Snapchat, Youtube, WhatsApp, Telegram",Snapchat,2-Jan,I don't post,sometimes,"Yes, a lot","Yes, a lot",sometimes,rarely,sometimes,rarely,sometimes,sometimes,Feeling motivated,Limit applications
35-44,male,Riyadh,Bachelor's degree,married,A worker with his own work,Yes,"Facebook, Instagram, X (Twitter), LinkedIn, TikTok, Snapchat, Youtube, WhatsApp, Telegram",Youtube,4-Mar,sometimes,"Yes, always",sometimes,rarely,"Yes, always","No, never","Yes, always",rarely,sometimes,sometimes,I hope for a better life,Delete the application
25-34,male,City,Bachelor's degree,bachelor,A worker with his own work,Yes,"Facebook, Instagram, X (Twitter), Youtube, WhatsApp, Telegram",WhatsApp,4-Mar,sometimes,"Yes, always","Yes, a lot",sometimes,"Yes, always",sometimes,I don't care about the number of likes or comments,rarely,"No, never",sometimes,Feeling frustrated,Being busy with work
45-54,male,Riyadh,Ph.D,married,Full time employee,Yes,"X (Twitter), LinkedIn, Youtube, WhatsApp, Telegram",LinkedIn,4-Mar,sometimes,sometimes,"Yes, a lot","Yes, a lot","Yes, always","No, never","Yes, always",rarely,"No, never",always,It doesn't affect me at all,The determination to reduce
18-24,male,Riyadh,Bachelor's degree,married,student,Yes,"Facebook, Instagram, WhatsApp, Telegram",WhatsApp,6-May,"No, never",rarely,"No, never",sometimes,"No, never","No, never",I don't care about the number of likes or comments,"No, never","No, never",rarely,"I do not compare myself to anyone, I am my own master",Anywhere
35-44,feminine,Riyadh,diploma,married,housewife,Yes,"Instagram, WhatsApp",WhatsApp,4-Mar,I don't post,rarely,"Yes, a lot","Yes, a lot","Yes, always","Yes, always",I don't care about the number of likes or comments,"No, never","No, never",sometimes,I don't compare my life to anyone,Charge the device by a small amount
35-44,male,Riyadh,Master's,married,student,Yes,"Facebook, X (Twitter), Youtube, WhatsApp",X (Twitter),2-Jan,sometimes,sometimes,"Yes, a lot",rarely,"Yes, always",sometimes,rarely,sometimes,rarely,always,Feeling frustrated,Preoccupation with reading paper books
35-44,feminine,City,High school or equivalent,married,housewife,Yes,"TikTok, Snapchat, WhatsApp",Snapchat,4-Mar,sometimes,sometimes,rarely,"No, never","Yes, always","No, never",sometimes,rarely,sometimes,rarely,I never compare my life to anyone's life.,Isolate by memorizing the Holy Quran
45-54,feminine,Riyadh,Ph.D,married,A worker with his own work,Yes,"X (Twitter), TikTok, Snapchat, Youtube, WhatsApp, Locket",TikTok,2-Jan,sometimes,"Yes, always","No, never","No, never","Yes, always","No, never",rarely,sometimes,"Yes, always",sometimes,incentive,Preoccupation with life matters
25-34,feminine,Riyadh,High school or equivalent,married,housewife,Yes,"Instagram, X (Twitter), Snapchat, Youtube, WhatsApp",WhatsApp,4-Mar,I don't post,"No, never",sometimes,sometimes,"Yes, always","No, never",I don't care about the number of likes or comments,sometimes,sometimes,sometimes,By default,Leave the device
35-44,male,Riyadh,Ph.D,married,Full time employee,Yes,"Facebook, X (Twitter), LinkedIn, TikTok, Youtube, WhatsApp, Telegram",X (Twitter),2-Jan,"Yes, always","Yes, always",sometimes,rarely,"Yes, always","No, never",sometimes,sometimes,"No, never",always,I wish for a better life,Determine a time to use before starting and self-control
25-34,male,Riyadh,Bachelor's degree,married,Not employed,Yes,"Facebook, TikTok, WhatsApp, Telegram",WhatsApp,4-Mar,I don't read comments,"No, never","No, never","No, never","Yes, always","No, never",I don't care about the number of likes or comments,"No, never","No, never",sometimes,No feeling at all,the job
18-24,feminine,Riyadh,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), WhatsApp, Telegram",WhatsApp,4-Mar,"Yes, always",sometimes,"Yes, a lot",sometimes,sometimes,rarely,"Yes, always",sometimes,rarely,always,loss,"Such as the solutions mentioned, deleting applications and using them from the browser"
25-34,male,grandmother,Bachelor's degree,bachelor,student,Yes,"Instagram, X (Twitter), Youtube, WhatsApp",X (Twitter),8-Jul,rarely,sometimes,"Yes, a lot",sometimes,"Yes, always",rarely,"No, never","No, never","No, never",always,nothing,nothing
